source_text,suggested_ar,locations,area,has_pre_filled
 Is Child Table,جدول فرعي,erpnext/stock/doctype/inventory_dimension/inventory_dimension.json:None,stock,1
% Installed,نسبة المركب,erpnext/stock/doctype/delivery_note/delivery_note.json:None,stock,1
% Occupied,نسبة الإشغال,erpnext/stock/page/warehouse_capacity_summary/warehouse_capacity_summary.js:70; erpnext/stock/page/warehouse_capacity_summary/warehouse_capacity_summary_header.html:16,stock,1
% of materials delivered against this Pick List,,erpnext/stock/doctype/pick_list/pick_list.json:None,stock,0
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI",,erpnext/stock/doctype/quality_inspection/quality_inspection.py:139,stock,0
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI",,erpnext/stock/doctype/quality_inspection/quality_inspection.py:130,stock,0
'To Package No.' cannot be less than 'From Package No.',,erpnext/stock/doctype/packing_slip/packing_slip.py:95,stock,0
(A) Qty After Transaction,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:174; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:203; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:106,stock,0
(B) Expected Qty After Transaction,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:208; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:111,stock,0
(C) Total Qty in Queue,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:223; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:126,stock,0
(C) Total qty in queue,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:184,stock,0
(D) Balance Stock Value,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:194; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:233; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:136,stock,0
(Daily Yield * No of Units Produced) / 100,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0
(E) Balance Stock Value in Queue,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:199; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:238; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:141,stock,0
(F) Change in Stock Value,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:248; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:151,stock,0
(G) Sum of Change in Stock Value,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:253; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:156,stock,0
(Good Units Produced / Total Units Produced) × 100,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0
(H) Change in Stock Value (FIFO Queue),,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:263; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:166,stock,0
(H) Valuation Rate,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:209,stock,0
(I) Valuation Rate,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:273; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:176,stock,0
(J) Valuation Rate as per FIFO,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:278; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:181,stock,0
(K) Valuation = Value (D) ÷ Qty (A),,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:288; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:191,stock,0
(Total Workstation Time / Manufacturing Time) * 60,,erpnext/stock/doctype/item_lead_time/item_lead_time.json:None,stock,0
A - B,,erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:213; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:116,stock,0
A - C,,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:189; erpnext/stock/report/stock_ledger_invariant_check/stock_ledger_invariant_check.py:228; erpnext/stock/report/stock_ledger_variance/stock_ledger_variance.py:131,stock,0
A Packing Slip can only be created for Draft Delivery Note.,,erpnext/stock/doctype/packing_slip/packing_slip.py:84,stock,0
"A Price List is a collection of Item Prices either Selling, Buying, or both",,erpnext/stock/doctype/price_list/price_list.json:None,stock,0
"A Product or a Service that is bought, sold or kept in stock.",,erpnext/stock/doctype/item/item.json:None,stock,0
A driver must be set to submit.,,erpnext/stock/doctype/delivery_trip/delivery_trip.py:55,stock,0
A logical Warehouse against which stock entries are made.,,erpnext/stock/doctype/warehouse/warehouse.json:None,stock,0
A naming series conflict occurred while creating serial numbers. Please change the naming series for the item {0}.,,erpnext/stock/serial_batch_bundle.py:1440,stock,0
AMC Expiry (Serial),,erpnext/stock/report/serial_no_and_batch_traceability/serial_no_and_batch_traceability.py:548,stock,0
AWB Number,,erpnext/stock/doctype/shipment/shipment.json:None,stock,0
Abbreviation: {0} must appear only once,,erpnext/stock/doctype/item_attribute/item_attribute.py:113,stock,0
Acceptance Criteria Formula,,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None,stock,0
Acceptance Criteria Value,,erpnext/stock/doctype/item_quality_inspection_parameter/item_quality_inspection_parameter.json:None; erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None,stock,0
"According to the BOM {0}, the Item '{1}' is missing in the stock entry.",,erpnext/stock/doctype/stock_entry/stock_entry.py:939,stock,0
Accounting Entry for LCV in Stock Entry {0},قيد محاسبي لسند التكلفة الإضافية في قيد المخزون {0},erpnext/stock/doctype/stock_entry/stock_entry.py:1883; erpnext/stock/doctype/stock_entry/stock_entry.py:1903,stock,1
Accounting Entry for {0},,erpnext/stock/doctype/purchase_receipt/purchase_receipt.py:736,stock,0
Action If Quality Inspection Is Rejected,الإجراء عند رفض فحص الجودة,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,1
Actual Balance Qty,كمية الرصيد الفعلية,erpnext/stock/report/incorrect_balance_qty_after_transaction/incorrect_balance_qty_after_transaction.py:125,stock,1
Add Serial / Batch No (Rejected Qty),,erpnext/stock/doctype/purchase_receipt_item/purchase_receipt_item.json:None; erpnext/subcontracting/doctype/subcontracting_receipt_item/subcontracting_receipt_item.json:None,stock,0
Adjustment based on Purchase Invoice rate,,erpnext/stock/doctype/purchase_receipt/purchase_receipt.py:664,stock,0
Affected Transactions,المعاملات المتأثرة,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.json:None,stock,1
Against Finished Good,مقابل المنتج النهائي,erpnext/stock/doctype/stock_entry_detail/stock_entry_detail.json:None,stock,1
Against Pick List,مقابل قائمة الانتقاء,erpnext/stock/doctype/delivery_note_item/delivery_note_item.json:None,stock,1
Age ({0}),العمر ({0}),erpnext/stock/report/stock_ageing/stock_ageing.py:220,stock,1
All items have already been received,,erpnext/stock/doctype/delivery_note/delivery_note.py:1208,stock,0
Allow Alternative Item must be checked on Item {},,erpnext/stock/doctype/item_alternative/item_alternative.py:65,stock,0
Allow Internal Transfers at Arm's Length Price,السماح بالتحويلات الداخلية بسعر مستقل,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,1
Allow Partial Reservation,السماح بالحجز الجزئي,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,1
Allow Purchase,السماح بالشراء,erpnext/stock/doctype/item/item.json:None,stock,1
Allow Sales,السماح بالبيع,erpnext/stock/doctype/item/item.json:None,stock,1
Allow UOM with Conversion Rate Defined in Item,,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,0
Allow Variant UOM to be different from Template UOM,,erpnext/stock/doctype/item_variant_settings/item_variant_settings.json:None,stock,0
Allow Zero Rate,السماح بسعر صفري,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.json:None,stock,1
Allow existing Serial No to be Manufactured/Received again,,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,0
Allow to Edit Stock UOM Qty for Purchase Documents,,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,0
Allow to Edit Stock UOM Qty for Sales Documents,,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,0
Allow to Make Quality Inspection after Purchase / Delivery,,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,0
Allows to keep aside a specific quantity of inventory for a particular order.,,erpnext/stock/doctype/stock_settings/stock_settings.json:None,stock,0
Already Picked,تم انتقاؤه بالفعل,erpnext/stock/doctype/pick_list/pick_list.py:1024,stock,1
Also you can't switch back to FIFO after setting the valuation method to Moving Average for this item.,,erpnext/stock/doctype/item/item.js:20,stock,0
Amount Difference with Purchase Invoice,فرق المبلغ مع فاتورة الشراء,erpnext/stock/doctype/purchase_receipt_item/purchase_receipt_item.json:None,stock,1
An error has been appeared while reposting item valuation via {0},,erpnext/stock/doctype/repost_item_valuation/repost_item_valuation.py:520,stock,0
"Any one of following filters required: warehouse, Item Code, Item Group",,erpnext/stock/report/fifo_queue_vs_qty_after_transaction_comparison/fifo_queue_vs_qty_after_transaction_comparison.py:37,stock,0
Applied on each reading.,,erpnext/stock/doctype/quality_inspection_reading/quality_inspection_reading.json:None,stock,0
Applied putaway rules.,,erpnext/stock/doctype/putaway_rule/putaway_rule.py:197,stock,0
